emp_no,first_name,last_name,title,from_date,salary,rnum
10001,Georgi,Facello,Senior Engineer,1986-06-26,60117,1
10004,Chirstian,Koblick,Senior Engineer,1995-12-01,40054,1
10009,Sumant,Peac,Senior Engineer,1995-02-18,60929,1
10018,Kazuhide,Peha,Senior Engineer,1995-04-03,55881,1
10035,Alain,Chappelet,Senior Engineer,1996-09-05,41538,1
10053,Sanjiv,Zschoche,Senior Staff,1994-11-13,67854,1
10058,Berhard,McFarlin,Senior Staff,1988-04-25,52787,1
10066,Kwee,Schusler,Senior Engineer,1998-02-25,69736,1
10067,Claudi,Stavenow,Senior Engineer,1996-03-03,44642,1
10072,Hironoby,Sidou,Senior Engineer,1995-05-21,40000,1
10076,Erez,Ritzmann,Senior Engineer,1996-07-15,47319,1
10088,Jungsoon,Syrzycki,Senior Staff,1993-09-02,65957,1
10100,Hironobu,Haraldson,Senior Staff,1994-09-21,54398,1
10103,Akemi,Birch,Engineer,1998-01-12,68158,1
10108,Lunjin,Giveon,Staff,1999-03-20,40000,1
10126,Kayoko,Valtorta,Senior Staff,1991-09-08,40000,1
10134,Diederik,Siprelle,Senior Engineer,1994-12-12,40000,1
10149,Xiadong,Perry,Staff,1994-01-28,88740,1
10152,Jaques,Munro,Engineer,1986-01-27,40000,1
10157,Nigel,Aloisi,Senior Engineer,1997-12-10,48770,1
10161,Hairong,Mellouli,Engineer,1991-06-09,43149,1
10186,Shigehito,Kropatsch,Staff,1996-12-25,40000,1
10198,Pranav,Furedi,Senior Engineer,1993-08-31,44076,1
10215,Xiaobin,Duclos,Senior Staff,1991-11-23,43944,1
10217,Yongmin,Roison,Technique Leader,1986-05-12,40000,1
10224,Leon,Trogemann,Senior Engineer,1996-01-09,40000,1
10229,Ulises,Takanami,Engineer,1996-02-20,58321,1
10233,Lein,Vendrig,Senior Staff,2000-04-28,40000,1
10272,Yishai,Cannane,Staff,1997-10-23,58070,1
10282,Hercules,Benzmuller,Engineer,2001-05-02,40000,1
10283,Kauko,Birjandi,Senior Engineer,1995-05-26,40000,1
10286,Saddek,Gopalakrishnan,Staff,1994-12-24,40000,1
10302,Faiza,Baer,Senior Staff,1994-07-22,58239,1
10305,Hirochika,Piancastelli,Engineer,1988-10-31,52550,1
10326,Masali,Czap,Staff,1998-09-02,40000,1
10327,Roded,Facello,Engineer,1987-09-18,54734,1
10340,Djelloul,Laventhal,Senior Staff,1993-03-30,68132,1
10347,Pradeep,Kaminger,Staff,1998-02-20,42199,1
10355,Satyanarayana,Cochrane,Staff,1996-01-26,70434,1
10356,Vasilis,Standera,Senior Staff,1995-06-26,45376,1
10363,Toshiki,Muniz,Assistant Engineer,1985-09-11,40401,1
10364,Nakhoon,Dengi,Senior Engineer,1985-11-14,51401,1
10372,Anneli,Frijda,Technique Leader,1985-07-30,54505,1
10387,Parto,Wrigley,Senior Staff,1999-01-07,61374,1
10395,Takahiro,Deverell,Engineer,1998-08-10,42774,1
10402,Volkmar,Ebeling,Technique Leader,1987-01-02,40000,1
10429,Martien,Improta,Senior Engineer,1988-09-23,40000,1
10432,Hisao,Tiemann,Senior Staff,1996-08-12,40000,1
10451,Bodh,Ranta,Senior Engineer,1998-03-12,46275,1
10453,Tsvetan,Matzel,Senior Staff,1993-04-02,40000,1
10463,Ung,Zaiane,Staff,1994-02-17,66480,1
10466,Jiakeng,Himler,Staff,1997-08-22,55318,1
10486,Amstein,Kossowski,Senior Engineer,1996-10-07,71692,1
10494,Yakkov,Servieres,Senior Engineer,2000-12-17,50094,1
10504,Xiong,Varker,Staff,1999-10-19,43931,1
10548,Ramalingam,Gunderson,Senior Staff,1993-07-04,90631,1
10575,Theirry,Yeung,Senior Engineer,1988-10-04,40523,1
10591,Hidde,Hettesheimer,Staff,1987-06-18,55131,1
10623,Aleksander,Danlos,Senior Engineer,1999-01-15,60268,1
10628,Krisda,Krogh,Senior Engineer,2001-03-14,41650,1
10629,Lalit,Francisci,Staff,1999-10-20,87045,1
10653,Otmar,Feinberg,Senior Engineer,1987-04-30,40000,1
10671,Parviz,Rebaine,Senior Staff,2001-09-13,74037,1
10672,Bluma,Zeilberger,Senior Engineer,1991-09-29,64663,1
10676,Valeri,Danley,Engineer,1999-09-04,58226,1
10693,Berhard,Daescu,Senior Staff,1991-01-08,40000,1
